timestamp;mode;server_pool;operation;volume;client_pool;avg_time_s;throughput_Bps;success;fail
2025-05-25T10:43:33.181324;process;50;upload;10;5;0.40;-;5;0
2025-05-25T10:43:37.829355;process;1;upload;10;50;1.99;-;50;0
2025-05-25T10:43:42.304982;process;5;upload;10;50;1.88;-;50;0
2025-05-25T10:43:47.378957;process;50;upload;10;50;2.42;-;50;0
2025-05-25T10:43:50.060825;process;1;upload;50;1;0.58;-;1;0
2025-05-25T10:43:52.706811;process;5;upload;50;1;0.57;-;1;0
2025-05-25T10:43:55.325627;process;50;upload;50;1;0.55;-;1;0
2025-05-25T10:43:59.161907;process;1;upload;50;5;1.75;-;5;0
2025-05-25T10:44:03.044110;process;5;upload;50;5;1.79;-;5;0
2025-05-25T10:44:06.897633;process;50;upload;50;5;1.75;-;5;0
2025-05-25T10:44:23.003085;process;1;upload;50;50;13.09;-;50;0
2025-05-25T10:44:38.654919;process;5;upload;50;50;12.37;-;50;0
2025-05-25T10:45:02.678097;process;50;upload;50;50;21.64;-;50;0
2025-05-25T10:45:06.008840;process;1;upload;100;1;1.25;-;1;0
2025-05-25T10:45:09.133549;process;5;upload;100;1;1.05;-;1;0
2025-05-25T10:45:12.534232;process;50;upload;100;1;1.32;-;1;0
2025-05-25T10:45:18.000797;process;1;upload;100;5;3.35;-;5;0
2025-05-25T10:45:23.378001;process;5;upload;100;5;3.29;-;5;0
2025-05-25T10:45:28.685360;process;50;upload;100;5;3.20;-;5;0
2025-05-25T10:46:00.019284;process;1;upload;100;50;27.42;-;50;0
2025-05-25T10:46:30.254845;process;5;upload;100;50;26.55;-;50;0
2025-05-25T10:46:59.885539;process;50;upload;100;50;25.50;-;50;0
2025-05-25T10:47:02.121749;process;1;download;10;1;0.13;-;1;0
2025-05-25T10:47:04.381735;process;5;download;10;1;0.16;-;1;0
2025-05-25T10:47:06.584364;process;50;download;10;1;0.12;-;1;0
2025-05-25T10:47:08.974955;process;1;download;10;5;0.27;-;5;0
2025-05-25T10:47:11.347557;process;5;download;10;5;0.25;-;5;0
2025-05-25T10:47:13.753349;process;50;download;10;5;0.26;-;5;0
2025-05-25T10:47:18.499947;process;1;download;10;50;2.00;-;50;0
2025-05-25T10:47:23.169698;process;5;download;10;50;1.94;-;50;0
2025-05-25T10:47:27.737446;process;50;download;10;50;1.72;-;50;0
2025-05-25T10:47:30.362195;process;1;download;50;1;0.52;-;1;0
2025-05-25T10:47:33.011179;process;5;download;50;1;0.57;-;1;0
2025-05-25T10:47:35.648551;process;50;download;50;1;0.52;-;1;0
2025-05-25T10:47:39.256722;process;1;download;50;5;1.43;-;5;0
2025-05-25T10:47:42.814885;process;5;download;50;5;1.38;-;5;0
2025-05-25T10:47:46.339914;process;50;download;50;5;1.26;-;5;0
2025-05-25T10:48:02.089474;process;1;download;50;50;10.78;-;50;0
2025-05-25T10:48:18.274467;process;5;download;50;50;11.04;-;50;0
2025-05-25T10:48:33.362729;process;50;download;50;50;10.50;-;50;0
2025-05-25T10:48:36.376659;process;1;download;100;1;0.93;-;1;0
2025-05-25T10:48:39.573296;process;5;download;100;1;1.12;-;1;0
2025-05-25T10:48:42.696321;process;50;download;100;1;1.03;-;1;0
2025-05-25T10:48:47.789126;process;1;download;100;5;2.79;-;5;0
2025-05-25T10:48:52.827475;process;5;download;100;5;2.75;-;5;0
2025-05-25T10:48:57.734015;process;50;download;100;5;2.52;-;5;0
2025-05-25T10:49:27.177608;process;1;download;100;50;21.72;-;50;0
2025-05-25T10:49:55.621590;process;5;download;100;50;21.01;-;50;0
2025-05-25T10:50:22.697854;process;50;download;100;50;19.15;-;50;0
2025-05-25T10:50:24.770284;process;1;list;10;1;0.00;-;1;0
2025-05-25T10:50:26.854902;process;5;list;10;1;0.00;-;1;0
2025-05-25T10:50:28.943872;process;50;list;10;1;0.00;-;1;0
2025-05-25T10:50:31.030872;process;1;list;10;5;0.00;-;5;0
2025-05-25T10:50:33.121138;process;5;list;10;5;0.00;-;5;0
2025-05-25T10:50:35.215936;process;50;list;10;5;0.00;-;5;0
2025-05-25T10:50:37.339492;process;1;list;10;50;0.02;-;50;0
2025-05-25T10:50:39.477759;process;5;list;10;50;0.01;-;50;0
2025-05-25T10:50:41.616514;process;50;list;10;50;0.01;-;50;0
